"		지점번호",지점명,일시,일조합,일조율,일사합
"		108",서울,2012-08-09,8.5,61.6,17.46
"		108",서울,2012-08-10,0.2,1.4,5.38
"		108",서울,2012-08-11,2.6,18.8,10.16
"		108",서울,2012-08-12,0,0,4.96
"		108",서울,2012-08-13,6.5,47.4,15.01
"		108",서울,2012-08-14,6.9,50.4,15.87
"		108",서울,2012-08-15,0,0,0.9
"		108",서울,2012-08-16,4.4,32.4,13.85
"		108",서울,2012-08-17,3.8,28.1,11.17
"		108",서울,2012-08-18,0,0,3.65
"		108",서울,2012-08-19,1.9,14.1,8.16
"		108",서울,2012-08-20,0,0,3.06
"		108",서울,2012-08-21,0.6,4.5,7.64
"		108",서울,2012-08-22,0,0,6.71
"		108",서울,2012-08-23,1.8,13.5,9.53
"		108",서울,2012-08-24,0.1,0.8,8.09
"		108",서울,2012-08-25,2.3,17.3,7.63
"		108",서울,2012-08-26,5.4,40.9,12.89
"		108",서울,2012-08-27,9.2,69.7,16.28
"		108",서울,2012-08-28,0,0,1.02
"		108",서울,2012-08-29,7,53.4,12.26
"		108",서울,2012-08-30,0,0,1.52
"		108",서울,2012-08-31,11.3,86.9,19.57
"		108",서울,2012-09-01,8.2,63.1,16.07
"		108",서울,2012-09-02,8.2,63.1,13.9
"		108",서울,2012-09-03,3.7,28.7,9.1
"		108",서울,2012-09-04,0.5,3.9,4.16
"		108",서울,2012-09-05,9.7,75.8,18.7
"		108",서울,2012-09-06,12,93.8,20.97
"		108",서울,2012-09-07,7.7,60.2,15.22
"		108",서울,2012-09-08,2.9,22.8,7.74
"		108",서울,2012-09-09,4.5,35.4,12.32
"		108",서울,2012-09-10,10.5,83.3,16.41
"		108",서울,2012-09-11,10.5,83.3,16.28
"		108",서울,2012-09-12,0.2,1.6,5.85
"		108",서울,2012-09-13,0,0,1.62
"		108",서울,2012-09-14,2.1,16.8,10
"		108",서울,2012-09-15,7.2,58.1,13.3
"		108",서울,2012-09-16,0,0,5.92
"		108",서울,2012-09-17,0,0,0.87
"		108",서울,2012-09-18,9.1,74,13.9
"		108",서울,2012-09-19,7.6,61.8,12.26
"		108",서울,2012-09-20,7.9,64.8,10.96
"		108",서울,2012-09-21,5.2,42.6,9.52
"		108",서울,2012-09-22,9.6,78.7,15.78
"		108",서울,2012-09-23,11.2,92.6,16.65
"		108",서울,2012-09-24,11.2,92.6,17.01
"		108",서울,2012-09-25,10.8,89.3,17.37
"		108",서울,2012-09-26,5.6,46.7,10.97
"		108",서울,2012-09-27,1.7,14.2,9.02
"		108",서울,2012-09-28,4,33.6,5.41
"		108",서울,2012-09-29,8.6,72.3,14.38
"		108",서울,2012-09-30,10.4,88.1,14.62
"		108",서울,2012-10-01,10.4,88.1,14.74
"		108",서울,2012-10-02,8.4,71.2,12.74
"		108",서울,2012-10-03,9.1,77.8,14.71
"		108",서울,2012-10-04,10.3,88,13.59
"		108",서울,2012-10-05,4.4,37.9,10.1
"		108",서울,2012-10-06,8.8,75.9,13.28
"		108",서울,2012-10-07,9.8,84.5,13.93
"		108",서울,2012-10-08,8.7,75.7,13.34
"		108",서울,2012-10-09,5.6,48.7,10.16
"		108",서울,2012-10-10,3.5,30.7,6.29
"		108",서울,2012-10-11,10.7,93.9,15.99
"		108",서울,2012-10-12,10.6,93,14.46
"		108",서울,2012-10-13,9.4,83.2,12
"		108",서울,2012-10-14,7.9,69.9,13.16
"		108",서울,2012-10-15,10.5,92.9,14.35
